Tinamotis pentlandii,Prosobonia ellisi
,Extinct
Patagonian Tinamou,North Island Snipe
Tinamotis ingoufi,Coenocorypha barrierensis
,Extinct
Horned Screamer,South Island Snipe
Anhima cornuta,Coenocorypha iredalei
,Extinct
Northern Screamer,Great Auk
Chauna chavaria,Pinguinus impennis
,Extinct
Southern Screamer,Guadalupe Storm Petrel
Chauna torquata,Hydrobates macrodactylus
,Extinct
Magpie Goose,Jamaican Petrel
Anseranas semipalmata,Pterodroma caribbaea
,Extinct
White-faced Whistling Duck,St. Helena Petrel
Dendrocygna viduata,Pseudobulweria rupinarum
,Extinct
Black-bellied Whistling Duck,Olson's Petrel
Dendrocygna autumnalis,Bulweria bifax
,Extinct
Spotted Whistling Duck,Spectacled Cormorant
Dendrocygna guttata,Urile perspicillatus
,Extinct
West Indian Whistling Duck,Reunion Ibis
Dendrocygna arborea,Threskiornis solitarius
,Extinct
Fulvous Whistling Duck,New Zealand Bittern
Dendrocygna bicolor,Ixobrychus novaezelandiae
,Extinct
Plumed Whistling Duck,Ascension Night Heron
Dendrocygna eytoni,Nycticorax olsoni
,Extinct
Wandering Whistling Duck,Reunion Night Heron
Dendrocygna arcuata,Nycticorax duboisi
,Extinct
Lesser Whistling Duck,Mauritius Night Heron
Dendrocygna javanica,Nycticorax mauritianus
,Extinct
White-backed Duck,Rodrigues Night Heron
Thalassornis leuconotus,Nycticorax megacephalus
,Extinct
Cape Barren Goose,Bermuda Night Heron
Cereopsis novaehollandiae,Nyctanassa carcinocatactes
,Extinct
Brant Goose,Bermuda Hawk
Branta bernicla,Bermuteo avivorus
,Extinct
Red-breasted Goose,Laughing Owl
Branta ruficollis,Ninox albifacies
,Extinct
Nene,Bermuda Saw-whet Owl
Branta sandvicensis,Aegolius gradyi
,Extinct
Canada Goose,Reunion Owl
Branta canadensis,Otus grucheti
,Extinct
Barnacle Goose,Mauritius Owl
Branta leucopsis,Otus sauzieri
,Extinct
Cackling Goose,Rodrigues Owl
Branta hutchinsii,Otus murivorus
,Extinct
Bar-headed Goose,St. Helena Hoopoe
Anser indicus,Upupa antaios
,Extinct
Emperor Goose,Mangareva Kingfisher
Anser canagicus,Todiramphus gambieri
,Extinct
Ross's Goose,Bermuda Flicker
Anser rossii,Colaptes oceanicus
,Extinct
Snow Goose,Guadalupe Caracara
Anser caerulescens,Caracara lutosa
,Extinct
Greylag Goose,Reunion Kestrel
Anser anser,Falco duboisi
,Extinct
Swan Goose,Norfolk Kaka
Anser cygnoides,Nestor productus
,Extinct
Taiga Bean Goose,Glaucous Macaw
Anser fabalis,Anodorhynchus glaucus
,Extinct
Pink-footed Goose,Carolina Parakeet
Anser brachyrhynchus,Conuropsis carolinensis
,Extinct
Tundra Bean Goose,Cuban Macaw
